,date,total_commute
1025,2020-10-22,2090
1026,2020-10-23,1875
1027,2020-10-24,515
1028,2020-10-25,815
1029,2020-10-26,2150
1030,2020-10-27,2160
1031,2020-10-28,1865
1032,2020-10-29,2030
1033,2020-10-30,1460
1034,2020-10-31,1120
1035,2020-11-01,295
1036,2020-11-02,1570
1037,2020-11-03,1655
1038,2020-11-04,3450
1039,2020-11-05,3035
1040,2020-11-06,2800
1041,2020-11-07,1360
1042,2020-11-08,1930
1043,2020-11-09,2655
1044,2020-11-10,3395
1045,2020-11-11,2945
1046,2020-11-12,2170
1047,2020-11-13,2140
1048,2020-11-14,1075
1049,2020-11-15,290
1050,2020-11-16,1405
1051,2020-11-17,2085
1052,2020-11-18,3635
1053,2020-11-19,1160
1054,2020-11-20,1545
1055,2020-11-21,1075
1056,2020-11-22,405
1057,2020-11-23,3135
1058,2020-11-24,1970
1059,2020-11-25,3680
1060,2020-11-26,2290
1061,2020-11-27,1480
1062,2020-11-28,965
1063,2020-11-29,145
1064,2020-11-30,965
1065,2020-12-01,1290
1066,2020-12-02,3070
1067,2020-12-03,1590
1068,2020-12-04,1380
1069,2020-12-05,1160
1070,2020-12-06,790
1071,2020-12-07,1030
1072,2020-12-08,2220
1073,2020-12-09,2125
1074,2020-12-10,2030
1075,2020-12-11,630
1076,2020-12-12,530
1077,2020-12-13,1125
1078,2020-12-14,2035
1079,2020-12-15,1690
1080,2020-12-16,1880
1081,2020-12-17,1265
1082,2020-12-18,1070
1083,2020-12-19,270
1084,2020-12-20,1005
1085,2020-12-21,1095
1086,2020-12-22,1670
1087,2020-12-23,375
1088,2020-12-24,530
1089,2020-12-25,90
1090,2020-12-26,110
1091,2020-12-27,0
1092,2020-12-28,1350
1093,2020-12-29,205
1094,2020-12-30,770
1095,2020-12-31,920
1096,2021-01-01,235
1097,2021-01-02,455
1098,2021-01-03,725
1099,2021-01-04,970
1100,2021-01-05,2445
1101,2021-01-06,1340
1102,2021-01-07,805
1103,2021-01-08,1520
1104,2021-01-09,1390
1105,2021-01-10,475
1106,2021-01-11,1775
1107,2021-01-12,1755
1108,2021-01-13,1520
1109,2021-01-14,2525
1110,2021-01-15,2205
1111,2021-01-16,235
1112,2021-01-17,290
1113,2021-01-18,1665
1114,2021-01-19,780
1115,2021-01-20,1610
1116,2021-01-21,1900
1117,2021-01-22,1640
1118,2021-01-23,1105
1119,2021-01-24,435
1120,2021-01-25,2025
1121,2021-01-26,1880
1122,2021-01-27,1835
1123,2021-01-28,985
1124,2021-01-29,640
1125,2021-01-30,1560
1126,2021-01-31,1310
1127,2021-02-01,120
1128,2021-02-02,245
1129,2021-02-03,1965
